Id,Label,timeset,pageranks,eigencentrality
faq/casemap_charprop.html,,,0.000409,0.081455
7,,,0.000357,0.004624
standard/where/,,,0.000663,0.197904
unsupported.html,,,0.001987,0.146323
iso15924/,,,0.000577,0.152892
iso15924/develop.html,,,0.000348,0
iso15924/iso15924jac.html,,,0.000348,0
pending/pending.html,,,0.000549,0.114197
search,,,0.002824,0.677949
consortium/newcomer.html,,,0.000473,0.092019
emoji/,,,0.000462,0.045219
glossary/,,,0.000572,0.235907
pending/docsubmit.html,,,0.000483,0.09535
consortium/utc.html,,,0.000889,0.295095
faq/reports_process.html,,,0.000406,0.095584
publications/,,,0.000457,0.074576
reports/tr15/,,,0.000465,0.104454
reports/tr24/,,,0.000444,0.082034
charts/index.html,,,0.000441,0.076381
standard/standard.html,,,0.000788,0.304078
alloc/Pipeline.html,,,0.000665,0.178535
standard/unsupported.html,,,0.000396,0.071855
sitemap/,,,0.003504,0.940688
contacts.html,,,0.001295,0.337619
standard/WhatIsUnicode.html,,,0.00057,0.16402
cldr/process.html,,,0.000476,0.130564
development,,,0.000355,0.006963
development/cldr-big-red-switch,,,0.000355,0.006963
development/development-process,,,0.000355,0.006963
development/development-process/design-proposals,,,0.000355,0.006963
development/editing-cldr-spec,,,0.000355,0.006963
development/guidance-on-direct-modifications-to-cldr-data,,,0.000355,0.006963
development/messages,,,0.000355,0.006963
development/new-cldr-developers,,,0.000355,0.006963
development/updating-codes,,,0.000355,0.006963
development/updating-dtds,,,0.000355,0.006963
errata/,,,0.000607,0.199477
errata/UnicodeErrata.html,,,0.000381,0.015424
glossary/index.html,,,0.000366,0.008922
uli/,,,0.000453,0.085078
home/announcement,,,0.00038,0.00473
home/announcement/february2017uli-tcmeeting,,,0.000359,0.00473
home/announcement/newmailinglistuli-users,,,0.000359,0.00473
home/announcement/publiclyavailablespecifications,,,0.000359,0.00473
home/announcement/ulisegmentexceptionspostedinsvnanddemoupdated,,,0.000359,0.00473
home/announcement/wordcounteffortbegun,,,0.000359,0.00473
home/uli-charter,,,0.000369,0.00473
home/uli-documents,,,0.000369,0.00473
home/uli-process,,,0.000369,0.00473
implementers-faq,,,0.000355,0.006963
index,,,0.000362,0.006963
index/bcp47-extension,,,0.000355,0.006963
index/bug-reports,,,0.000355,0.006963
index/charts,,,0.000355,0.006963
index/cldr-spec,,,0.000355,0.006963
index/downloads,,,0.000355,0.006963
index/process/cldr-data-retention-policy,,,0.000355,0.006963
index/survey-tool,,,0.000355,0.006963
pending/proposals.html,,,0.00076,0.215301
system/app/pages/recentChanges,,,0.000366,0.011692
system/app/pages/sitemap/hierarchy,,,0.000366,0.011692
timesens/calendar.html,,,0.000566,0.155497
translation,,,0.000355,0.006963
4a,,,0.000357,0.004624
6a,,,0.000357,0.004624
charts/,,,0.000672,0.247213
About.html,,,0.000356,0.01745
About.html#PDF,,,0.000351,0.01745
notes/,,,0.000546,0.179304
about-notes.html,,,0.000357,0.009428
reports/index.html,,,0.000479,0.173151
about-reports.html,,,0.000359,0.009006
about-reports.html#Development,,,0.000354,0.009006
about-reports.html#Types,,,0.000354,0.009006
about-reports.html#Versioning,,,0.000354,0.009006
about-reports.html#Withdrawn,,,0.000354,0.009006
acknowledgements/,,,0.000568,0.159526
acknowledgements/bulldog.html,,,0.000453,0.036962
acknowledgements/grants.html,,,0.000455,0.07136
consortium/consort.html,,,0.000927,0.275828
consortium/edcom.html,,,0.000454,0.075029
consortium/memoriam.html,,,0.000477,0.081378
versions/latest/,,,0.000781,0.307287
unicode.org,,,0.007074,1
conference/about-conf.html,,,0.000554,0.180626
consortium/donations.html,,,0.000419,0.075464
acknowledgements/members-staff.html,,,0.000407,0.012533
acknowledgements/sei.html,,,0.000407,0.012533
acknowledgements/standard.html,,,0.000407,0.012533
acknowledgements/standardorg.html,,,0.000407,0.012533
timesens/logistics-mongolian.html,,,0.000363,0.008248
adobe-sjmap.pdf,,,0.000421,0.002209
timesens/logistics-utc155.html,,,0.000368,0.013488
consortium/adopt-a-character.html,,,0.000461,0.087193
adopted-characters.html,,,0.00042,0.004857
udhr/,,,0.000451,0.11443
aggregates.html,,,0.000379,0.006165
alloc/about.html,,,0.000412,0.017635
faq/char_proposal.html,,,0.000374,0.025961
alloc/ISOStages.html,,,0.000439,0.015723
alloc/nonapprovals.html,,,0.000424,0.071855
faq/prop_new_characters.html,,,0.000374,0.025961
L2/index.html,,,0.000404,0.057931
roadmaps,,,0.000494,0.149349
standard/supported.html,,,0.000463,0.099317
announcements/,,,0.000503,0.135728
announcements/articles.html,,,0.000541,0.129897
announcements/books.html,,,0.000476,0.100528
history/,,,0.000477,0.130319
history/index.html,,,0.000819,0.03221
announcements/ann-feb16-2010.html,,,0.000352,0.007325
announcements/ann-jan05-2010.html,,,0.000352,0.007325
announcements/ann-Jun02-2010.html,,,0.000352,0.007325
announcements/quotations.html,,,0.000427,0.082722
