Id,Content Type,Page Type,Subdomain,Label,timeset,pageranks,eigencentrality
7,,html,,,,0.000357,0.004624
standard/where/,,html,,,,0.000663,0.197904
unsupported.html,,html,,,,0.001987,0.146323
iso15924/develop.html,,html,,,,0.000348,0
iso15924/iso15924jac.html,,html,,,,0.000348,0
pending/pending.html,,html,,,,0.000549,0.114197
search,,html,,,,0.002824,0.677949
glossary/,,html,,,,0.000572,0.235907
pending/docsubmit.html,,html,,,,0.000483,0.09535
publications/,,html,,,,0.000457,0.074576
charts/index.html,,html,,,,0.000441,0.076381
standard/standard.html,,html,,,,0.000788,0.304078
alloc/Pipeline.html,,html,,,,0.000665,0.178535
standard/unsupported.html,,html,,,,0.000396,0.071855
sitemap/,,html,,,,0.003504,0.940688
contacts.html,,html,,,,0.001295,0.337619
standard/WhatIsUnicode.html,,html,,,,0.00057,0.16402
development,,html,,,,0.000355,0.006963
development/development-process,,html,,,,0.000355,0.006963
development/development-process/design-proposals,,html,,,,0.000355,0.006963
development/messages,,html,,,,0.000355,0.006963
development/updating-codes,,html,,,,0.000355,0.006963
development/updating-dtds,,html,,,,0.000355,0.006963
errata/,,html,,,,0.000607,0.199477
errata/UnicodeErrata.html,,html,,,,0.000381,0.015424
glossary/index.html,,html,,,,0.000366,0.008922
uli/,,html,,,,0.000453,0.085078
home/uli-charter,,html,,,,0.000369,0.00473
home/uli-documents,,html,,,,0.000369,0.00473
home/uli-process,,html,,,,0.000369,0.00473
index,,html,,,,0.000362,0.006963
index/bcp47-extension,,html,,,,0.000355,0.006963
index/bug-reports,,html,,,,0.000355,0.006963
index/charts,,html,,,,0.000355,0.006963
index/downloads,,html,,,,0.000355,0.006963
index/survey-tool,,html,,,,0.000355,0.006963
pending/proposals.html,,html,,,,0.00076,0.215301
system/app/pages/recentChanges,,html,,,,0.000366,0.011692
system/app/pages/sitemap/hierarchy,,html,,,,0.000366,0.011692
timesens/calendar.html,,html,,,,0.000566,0.155497
4a,,html,,,,0.000357,0.004624
6a,,html,,,,0.000357,0.004624
charts/,,html,,,,0.000672,0.247213
About.html,,html,,,,0.000356,0.01745
About.html#PDF,,html,#,,,0.000351,0.01745
about-notes.html,,html,,,,0.000357,0.009428
reports/index.html,,html,,,,0.000479,0.173151
about-reports.html,,html,,,,0.000359,0.009006
about-reports.html#Development,,html,#,,,0.000354,0.009006
about-reports.html#Types,,html,#,,,0.000354,0.009006
about-reports.html#Versioning,,html,#,,,0.000354,0.009006
about-reports.html#Withdrawn,,html,#,,,0.000354,0.009006
acknowledgements/,,html,,,,0.000568,0.159526
acknowledgements/bulldog.html,,html,,,,0.000453,0.036962
acknowledgements/grants.html,,html,,,,0.000455,0.07136
unicode.org,,html,,,,0.007074,1
conference/about-conf.html,,html,,,,0.000554,0.180626
acknowledgements/members-staff.html,,html,,,,0.000407,0.012533
acknowledgements/sei.html,,html,,,,0.000407,0.012533
acknowledgements/standard.html,,html,,,,0.000407,0.012533
acknowledgements/standardorg.html,,html,,,,0.000407,0.012533
timesens/logistics-mongolian.html,,html,,,,0.000363,0.008248
adobe-sjmap.pdf,,pdf,,,,0.000421,0.002209
timesens/logistics-utc155.html,,html,,,,0.000368,0.013488
adopted-characters.html,,html,,,,0.00042,0.004857
udhr/,,html,,,,0.000451,0.11443
aggregates.html,,html,,,,0.000379,0.006165
alloc/about.html,,html,,,,0.000412,0.017635
alloc/ISOStages.html,,html,,,,0.000439,0.015723
alloc/nonapprovals.html,,html,,,,0.000424,0.071855
L2/index.html,,html,,,,0.000404,0.057931
roadmaps,,html,,,,0.000494,0.149349
standard/supported.html,,html,,,,0.000463,0.099317
casestudy/,,html,,,,0.000459,0.138823
education/,,html,,,,0.000478,0.081474
education/consortwork.html,,html,,,,0.000467,0.081474
education/ngos.html,,html,,,,0.00046,0.077365
education/students.html,,html,,,,0.000454,0.077365
press/,,html,,,,0.000436,0.070812
standard/tutorial-info.html,,html,,,,0.000517,0.159407
versions/enumeratedversions.html,,html,,,,0.000639,0.18387
applyingforgrants.html,,html,,,,0.00036,0.004857
attribution.html#AF,,html,#,,,0.000935,0.031571
attribution.html#AJ,,html,#,,,0.0004,0.010568
attribution.html#AP,,html,#,,,0.000371,0.001912
attribution.html#CW,,html,#,,,0.00036,0.005576
attribution.html#DA,,html,#,,,0.000355,0.004991
attribution.html#DB,,html,#,,,0.000375,0.001912
attribution.html#DE,,html,#,,,0.000398,0.004466
attribution.html#EH,,html,#,,,0.000375,0.002185
attribution.html#EM,,html,#,,,0.000456,0.018534
attribution.html#GR,,html,#,,,0.000357,0.002468
attribution.html#JA,,html,#,,,0.000365,0.002468
attribution.html#JC,,html,#,,,0.000406,0.003993
attribution.html#JDA,,html,#,,,0.000364,0.00524
attribution.html#JJ,,html,#,,,0.000535,0.015749
attribution.html#JS,,html,#,,,0.000413,0.002095
attribution.html#KW,,html,#,,,0.000368,0.001912
attribution.html#LM,,html,#,,,0.000415,0.004466
attribution.html#MC,,html,#,,,0.00036,0.005576
attribution.html#MD,,html,#,,,0.000391,0.016006
attribution.html#MK,,html,#,,,0.000404,0.006377
attribution.html#MS,,html,#,,,0.000571,0.010843
attribution.html#PC,,html,#,,,0.000378,0.006903
attribution.html#RC,,html,#,,,0.000412,0.00746
attribution.html#SO,,html,#,,,0.000364,0.004466
attribution.html#TO,,html,#,,,0.000381,0.002468
basic_q.html,,html,,,,0.000355,0.004991
bmp/,,html,,,,0.000375,0.007929
casestudy/cases/eBayUTF-8DBMigration.pdf,,pdf,,,,0.000369,0.007504
casestudy/cases/JustSystemsSuccessStory.pdf,,pdf,,,,0.000369,0.007504
casestudy/cases/UnicodeInEducation.pdf,,pdf,,,,0.000403,0.026043
casestudy/cases/UnicodeInMobilePhones.pdf,,pdf,,,,0.000369,0.007504
casestudy/cases/Yokoyama.pdf,,pdf,,,,0.000403,0.026043
L2/L2search.html,,html,,,,0.000408,0.057931
cgi-bin/GetMatchingDocs.pl?,,html,,,,0.000377,0.003399
cgi-bin/GetUnihanData.pl?codepoint=%E5%AD%97,,html,,,,0.000356,0.007438
cgi-bin/GetUnihanData.pl?codepoint=%E6%96%87,,html,,,,0.000356,0.007438
cgi-bin/GetUnihanData.pl?codepoint=%E7%B5%B5,,html,,,,0.000356,0.007438
charindex.html,,html,,,,0.000369,0.025009
charts/unihan.html,,html,,,,0.000483,0.143689
charts/charindex.html,,html,,,,0.000473,0.106217
charts/About.html,,html,,,,0.000355,0.004991
wg2/,,html,,,,0.000455,0.125727
charts/About.html#iso10646,,html,#,,,0.000373,0.006764
charts/aboutcharindex.html,,html,,,,0.000348,0.005849
charts/case/,,html,,,,0.000663,0.008461
charts/collation/,,html,,,,0.000965,0.011182
charts/collation/chart_Myanmar.html,,html,,,,0.000359,0.001912
charts/fonts.html,,html,,,,0.000428,0.017525
charts/nameslist/,,html,,,,0.000357,0.004272
charts/normalization/,,html,,,,0.0007,0.00507
charts/PDF/U0080.pdf,,pdf,,,,0.000357,0.004624
charts/PDF/U0980.pdf,,pdf,,,,0.000375,0.002232
charts/PDF/U1000.pdf,,pdf,,,,0.000359,0.001912
charts/PDF/UA9E0.pdf,,pdf,,,,0.000359,0.001912
charts/PDF/UAA60.pdf,,pdf,,,,0.000359,0.001912
charts/PDF/Unicode-11.0/,,html,,,,0.00037,0.016071
charts/unihanrsindex.html,,html,,,,0.000354,0.016071
choosing.html,,html,,,,0.000384,0.004857
policies/policies.html,,html,,,,0.000858,0.225295
onlinedat/online.html,,html,,,,0.000519,0.142351
review/,,html,,,,0.000692,0.224489
codechanges.html,,html,,,,0.000458,0.010219
iso15924/iso15924form.html,,html,,,,0.000357,0.004755
codelists.html,,html,,,,0.000407,0.009399
collation/,,html,,,,0.000394,0.037809
collation/ducet-changes.html,,html,,,,0.000373,0.012949
collation/ducet-criteria.html,,html,,,,0.000386,0.024417
versions/index.html,,html,,,,0.000422,0.09595
