Source,Target
wg2/,http://www.unicode.org/copyright.html
acknowledgements/bulldog.html,http://www.unicode.org/
acknowledgements/bulldog.html,http://www.unicode.org/acknowledgements/
acknowledgements/bulldog.html,http://www.unicode.org
acknowledgements/bulldog.html,http://www.unicode.org/sitemap/
acknowledgements/bulldog.html,http://www.unicode.org/search
acknowledgements/bulldog.html,http://www.unicode.org/copyright.html
acknowledgements/grants.html,http://www.unicode.org/
acknowledgements/grants.html,http://www.unicode.org/acknowledgements/
acknowledgements/grants.html,http://www.unicode.org
acknowledgements/grants.html,http://www.unicode.org/sitemap/
acknowledgements/grants.html,http://www.unicode.org/search/
acknowledgements/grants.html,#luce
acknowledgements/grants.html,#wikimedia
acknowledgements/grants.html,http://cldr.unicode.org/index/acknowledgments
acknowledgements/grants.html,http://www.unicode.org/acknowledgements/standard.html
acknowledgements/grants.html,http://www.unicode.org/charts/fonts.html
acknowledgements/grants.html,http://www.unicode.org/acknowledgements/sei.html
acknowledgements/grants.html,http://www.unicode.org/acknowledgements/members-staff.html
acknowledgements/grants.html,http://www.unicode.org/acknowledgements/standardorg.html
acknowledgements/grants.html,http://www.unicode.org/consortium/memoriam.html
acknowledgements/grants.html,
acknowledgements/grants.html,http://www.hluce.org/asia.aspx
acknowledgements/grants.html,http://www.hluce.org/asia.aspx
acknowledgements/grants.html,
acknowledgements/grants.html,https://wikimediafoundation.org/wiki/Home
acknowledgements/grants.html,http://www.unicode.org/copyright.html
alloc/Pipeline.html,http://www.unicode.org/
alloc/Pipeline.html,http://www.unicode.org/alloc/Pipeline.html
alloc/Pipeline.html,http://www.unicode.org
alloc/Pipeline.html,http://www.unicode.org/sitemap/
alloc/Pipeline.html,http://www.unicode.org/search
alloc/Pipeline.html,#planned_next_version
alloc/Pipeline.html,#published_chars
alloc/Pipeline.html,#future
alloc/Pipeline.html,#characters_scripts
alloc/Pipeline.html,#variation_sequences
alloc/Pipeline.html,#named_sequences
