Source,Target,Type,Id,Label,timeset,Weight
faq/casemap_charprop.html,7,Directed,16477,,,1
standard/where/,unsupported.html,Directed,16478,,,3
iso15924/,unsupported.html,Directed,16479,,,2
iso15924/develop.html,unsupported.html,Directed,16480,,,2
iso15924/iso15924jac.html,unsupported.html,Directed,16481,,,2
pending/pending.html,unsupported.html,Directed,16482,,,4
search,unsupported.html,Directed,16483,,,4
consortium/newcomer.html,unsupported.html,Directed,16485,,,6
emoji/,unsupported.html,Directed,16486,,,6
glossary/,unsupported.html,Directed,16487,,,2
pending/docsubmit.html,unsupported.html,Directed,16494,,,2
consortium/utc.html,unsupported.html,Directed,16497,,,1
faq/reports_process.html,unsupported.html,Directed,16500,,,2
publications/,unsupported.html,Directed,16506,,,1
reports/tr15/,unsupported.html,Directed,16514,,,54
reports/tr24/,unsupported.html,Directed,16515,,,26
emoji/,charts/index.html,Directed,16595,,,3
standard/standard.html,alloc/Pipeline.html,Directed,16597,,,2
standard/unsupported.html,alloc/Pipeline.html,Directed,16599,,,2
standard/unsupported.html,consortium/utc.html,Directed,16600,,,2
sitemap/,contacts.html,Directed,16602,,,4
standard/WhatIsUnicode.html,contacts.html,Directed,16603,,,1
cldr/process.html,development,Directed,16604,,,1
cldr/process.html,development/cldr-big-red-switch,Directed,16605,,,1
cldr/process.html,development/development-process,Directed,16606,,,1
cldr/process.html,development/development-process/design-proposals,Directed,16607,,,1
cldr/process.html,development/editing-cldr-spec,Directed,16608,,,1
cldr/process.html,development/guidance-on-direct-modifications-to-cldr-data,Directed,16609,,,1
cldr/process.html,development/messages,Directed,16610,,,1
cldr/process.html,development/new-cldr-developers,Directed,16611,,,1
cldr/process.html,development/updating-codes,Directed,16612,,,1
cldr/process.html,development/updating-dtds,Directed,16613,,,1
sitemap/,errata/,Directed,16614,,,4
standard/standard.html,errata/,Directed,16615,,,2
consortium/utc.html,errata/UnicodeErrata.html,Directed,16616,,,2
