"Crawl Overview Report by the Screaming Frog SEO Spider (9.2)"
"Site Crawled","http://unicode.org/"
"Date","Thursday, May 24, 2018"
"Time","13:55:59 EDT"
""
"Summary","Number of URI","% of Total URI","Total URI","Total URI Description"
"Total URI Encountered","500","100.00%","500","URIs Encountered"
"Total URI Crawled","368","73.60%","500","URIs Encountered"
"Total Internal blocked by robots.txt","132","26.40%","500","URIs Encountered"
"Total External blocked by robots.txt","0","0.00%","500","URIs Encountered"
""
"URIs Displayed","500","100.00%","500","URIs Displayed"
"Total Internal URI","478","95.60%","500","URIs Displayed"
"Total External URI","22","4.40%","500","URIs Displayed"
""
"Internal"
"All","478","100.00%","478","Internal URI"
"HTML","295","61.72%","478","Internal URI"
"JavaScript","4","0.84%","478","Internal URI"
"CSS","4","0.84%","478","Internal URI"
"Images","40","8.37%","478","Internal URI"
"PDF","0","0.00%","478","Internal URI"
"Flash","0","0.00%","478","Internal URI"
"Other","135","28.24%","478","Internal URI"
""
"External"
"All","22","100.00%","22","External URI"
"HTML","15","68.18%","22","External URI"
"JavaScript","0","0.00%","22","External URI"
"CSS","0","0.00%","22","External URI"
"Images","0","0.00%","22","External URI"
"PDF","0","0.00%","22","External URI"
"Flash","0","0.00%","22","External URI"
"Other","7","31.82%","22","External URI"
""
"Protocol"
"All","485","100.00%","485","All internal and non HTML external URIs"
"HTTP","481","99.18%","485","All internal and non HTML external URIs"
"HTTPS","4","0.82%","485","All internal and non HTML external URIs"
""
"Response Codes"
"All","500","100.00%","500","All Crawled URI"
"Blocked by Robots.txt","132","26.40%","500","All Crawled URI"
"Blocked Resource","0","0.00%","500","All Crawled URI"
"No Response","1","0.20%","500","All Crawled URI"
"Success (2xx)","350","70.00%","500","All Crawled URI"
"Redirection (3xx)","17","3.40%","500","All Crawled URI"
"Redirection (JavaScript)","0","0.00%","500","All Crawled URI"
"Redirection (Meta Refresh)","4","0.80%","500","All Crawled URI"
"Client Error (4xx)","0","0.00%","500","All Crawled URI"
"Server Error (5xx)","0","0.00%","500","All Crawled URI"
""
"Content"
"Large Pages (Over 100kb)","130","45.30%","287","Internal HTML pages with 2xx response"
"Low Content Pages (Under 300 Words)","22","7.67%","287","Internal HTML pages with 2xx response"
""
"URI"
"All","478","100.00%","478","Internal URI"
"Non ASCII Characters","0","0.00%","478","Internal URI"
"Underscores","29","6.07%","478","Internal URI"
"Uppercase","7","1.46%","478","Internal URI"
"Duplicate","10","2.09%","478","Internal URI"
"Parameters","0","0.00%","478","Internal URI"
"Over 115 Characters","0","0.00%","478","Internal URI"
""
"Page Titles"
"All","287","100.00%","287","Internal HTML pages with 2xx response"
"Missing","1","0.35%","287","Internal HTML pages with 2xx response"
"Duplicate","21","7.32%","287","Internal HTML pages with 2xx response"
"Over 65 Characters","9","3.14%","287","Internal HTML pages with 2xx response"
"Below 30 Characters","172","59.93%","287","Internal HTML pages with 2xx response"
"Over 571 Pixels","8","2.79%","287","Internal HTML pages with 2xx response"
"Below 200 Pixels","91","31.71%","287","Internal HTML pages with 2xx response"
