Source,Target
faq/casemap_charprop.html,7
standard/where/,unsupported.html
iso15924/,unsupported.html
iso15924/develop.html,unsupported.html
iso15924/iso15924jac.html,unsupported.html
pending/pending.html,unsupported.html
search,unsupported.html
pending/pending.html,unsupported.html
consortium/newcomer.html,unsupported.html
emoji/,unsupported.html
glossary/,unsupported.html
consortium/newcomer.html,unsupported.html
search,unsupported.html
search,unsupported.html
iso15924/,unsupported.html
iso15924/develop.html,unsupported.html
iso15924/iso15924jac.html,unsupported.html
pending/docsubmit.html,unsupported.html
pending/docsubmit.html,unsupported.html
emoji/,unsupported.html
consortium/utc.html,unsupported.html
glossary/,unsupported.html
consortium/newcomer.html,unsupported.html
faq/reports_process.html,unsupported.html
emoji/,unsupported.html
emoji/,unsupported.html
emoji/,unsupported.html
emoji/,unsupported.html
consortium/newcomer.html,unsupported.html
publications/,unsupported.html
pending/pending.html,unsupported.html
pending/pending.html,unsupported.html
faq/reports_process.html,unsupported.html
consortium/newcomer.html,unsupported.html
consortium/newcomer.html,unsupported.html
search,unsupported.html
standard/where/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
reports/tr24/,unsupported.html
reports/tr24/,unsupported.html
reports/tr15/,unsupported.html
standard/where/,unsupported.html
emoji/,charts/index.html
emoji/,charts/index.html
standard/standard.html,alloc/Pipeline.html
standard/standard.html,alloc/Pipeline.html
standard/unsupported.html,alloc/Pipeline.html
standard/unsupported.html,consortium/utc.html
standard/unsupported.html,consortium/utc.html
sitemap/,contacts.html
standard/WhatIsUnicode.html,contacts.html
cldr/process.html,development
cldr/process.html,development/cldr-big-red-switch
cldr/process.html,development/development-process
cldr/process.html,development/development-process/design-proposals
cldr/process.html,development/editing-cldr-spec
