appsrv.cse.cuhk.edu.hk,~irg/,,
cldr.unicode.org,index/process,,
cldr.unicode.org,,,
cldr.unicode.org,index/charts,,
cldr.unicode.org,index,,
cldr.unicode.org,index/survey-tool,,
cldr.unicode.org,index/bug-reports,,
cldr.unicode.org,index/downloads,,
cldr.unicode.org,index/cldr-spec,,
cldr.unicode.org,index/downloads/cldr-33,,
cldr.unicode.org,locale_faq-html,,
diendan.org,nhung-con-nguoi/do-ba-phuoc-1952-2015,,
en.wikipedia.org,wiki/Mark_Crispin,,
evertype.com,,,
facebook.com,pages/Friends-of-Unicode/127785250588285,,
iana.org,assignments/language-subtag-registry/language-subtag-registry,,
Id 1,Id 2,Label,timeset
infitt.com,newsite/,,
iso.org,iso-4217-currency-codes.html,,
iso.org,iso-3166-country-codes.html,,
iso.org,obp/ui/,,
kokusaika.jp,en/info/149-news-20100409.html,,
lcweb.loc.gov,standards/iso639-2/,,
legacy.com,obituaries/mercurynews/obituary.aspx?pid=158762823,,
nomfoundation.org,,,
obits.dignitymemorial.com,dignity-memorial/obituary.aspx?n=Michael-Kaplan&lc=4246&pid=176192738&uuid=ec6b8cda-c4b1-4b5f-9422-925b1e09a03a,,
oss.software.ibm.com,icu/charset/,,
pacificlinks.org,,,
plus.google.com,1.09E+20,,
siao2.com,,,
site.icu-project.org,,,
twitter.com,unicode/,,
uli.unicode.org,,,
unicode.org,,,
unicode.org,reports/tr35/,,
unicode.org,timesens/calendar.html,,
unicode.org,review/,,
unicode.org,sitemap/,,
unicode.org,reporting.html,,
unicode.org,consortium/utc-minutes.html,,
unicode.org,L2/index.html,,
unicode.org,consortium/utc.html,,
unicode.org,L2/meetings/utc-meetings.html,,
unicode.org,,,
unicode.org,reporting.html,,
unicode.org,emoji/,,
unicode.org,iso15924/,,
unicode.org,consortium/edcom.html,,
unicode.org,faq/basic_q.html,,
unicode.org,policies/policies.html,,
unicode.org,iso15924/develop.html,,
unicode.org,iso15924/codelists.html,,
unicode.org,roadmaps/,,
unicode.org,iso15924/iso15924jac.html,,
unicode.org,iso15924/iso15924form.html,,
unicode.org,faq/alpha_soup.html,,
unicode.org,history/,,
unicode.org,consortium/consort.html,,
unicode.org,history/versionone.html,,
unicode.org,history/20thceleb/20thceleb.html,,
unicode.org,members/index.html,,
unicode.org,consortium/memoriam.html,,
unicode.org,acknowledgements/,,
unicode.org,acknowledgements/grants.html,,
unicode.org,faq/,,
unicode.org,contacts.html,,
unicode.org,faq/font_keyboard.html,,
unicode.org,education/consortwork.html,,
unicode.org,faq/specifications.html,,
unicode.org,standard/WhatIsUnicode.html,,
unicode.org,casestudy/,,
unicode.org,ucd/,,
unicode.org,notes/,,
unicode.org,consortium/distlist.html,,
unicode.org,education/students.html,,
unicode.org,standard/tutorial-info.html,,
unicode.org,press/,,
unicode.org,search/,,
unicode.org,education/ngos.html,,
unicode.org,resources/,,
unicode.org,education/,,
unicode.org,faq/indic.html,,
unicode.org,consortium/newcomer.html,,
unicode.org,faq/emoji_dingbats.html,,
unicode.org,faq/internationalization.html,,
unicode.org,faq/greek.html,,
unicode.org,faq/conversion_mapping.html,,
unicode.org,faq/unsup_char.html,,
unicode.org,faq/line_breaking.html,,
unicode.org,faq/punctuation_symbols.html,,
unicode.org,faq/char_combmark.html,,
unicode.org,faq/languagetagging.html,,
unicode.org,consortium/distlist.html,,
unicode.org,faq/han_cjk.html,,
unicode.org,faq/collation.html,,
unicode.org,faq/compression.html,,
unicode.org,faq/security.html,,
unicode.org,announcements/books.html,,
unicode.org,faq/reports_process.html,,
unicode.org,faq/bengali.html,,
unicode.org,faq/unicode_web.html,,
unicode.org,faq/membership.html,,
unicode.org,faq/tamil.html,,
unicode.org,faq/normalization.html,,
unicode.org,faq/blocks_ranges.html,,
unicode.org,reports/tr17/,,
unicode.org,faq/programming.html,,
unicode.org,faq/unicode_iso.html,,
unicode.org,faq/emoji_submission.html,,
unicode.org,faq/char_proposal.html,,
unicode.org,faq/cope_change.html,,
unicode.org,faq/middleeast.html,,
unicode.org,faq/idn.html,,
unicode.org,faq/sdos.html,,
unicode.org,faq/korean.html,,
unicode.org,reports/tr10/,,
unicode.org,faq/faq_on_faqs.html,,
unicode.org,faq/prop_new_characters.html,,
unicode.org,faq/ligature_digraph.html,,
unicode.org,faq/casemap_charprop.html,,
unicode.org,faq/ucd.html,,
unicode.org,faq/vs.html,,
unicode.org,faq/bidi.html,,
unicode.org,faq/attribution.html,,
unicode.org,faq/private_use.html,,
unicode.org,faq/myanmar.html,,
unicode.org,faq/named_sequences.html,,
unicode.org,standard/where/,,
unicode.org,standard/standard.html,,
unicode.org,pending/proposals.html,,
unicode.org,alloc/Pipeline.html,,
unicode.org,pending/docsubmit.html,,
unicode.org,standard/unsupported.html,,
unicode.org,pending/pending.html,,
unicode.org,webscripts/logo60s2.gif,,
